category_2,category_3,number_of_listings,avg_listing_price_eur,revenue_from_push_ups,push_ups_quantity,percent_push_ups
WOMENS,DRESSES,860056,39.78376873,79424,39712,4.617373752
WOMENS,JEANS,330765,19.26575061,25316,12658,3.826886158
WOMENS,JUMPSUITS_UK,12278,19.34379133,1262,631,5.139273497
WOMENS,LINGERIE,133086,11.67411831,7240,3620,2.720045685
WOMENS,OTHER_CLOTHES,27816,50.61510498,4108,2054,7.384239287
WOMENS,OUTERWEAR,377058,46.63813212,57032,28516,7.562762228
WOMENS,PULLOVERS_SWEATERS,713152,14.51278667,47128,23564,3.304204433
WOMENS,SHORTS_CAPRIS,153211,11.49014079,6570,3285,2.144101925
WOMENS,SKIRTS,214910,13.23925299,11830,5915,2.752314923
WOMENS,SPECIAL_OUTFITS_COSTUMES_W,11876,45.78736106,1792,896,7.544627821
WOMENS,SPORTSWEAR_WOMEN,124559,18.82035854,8318,4159,3.338979921
WOMENS,SWIMWEAR,91268,17.03220263,5374,2687,2.944076785
WOMENS,SKIRTS,214910,13.23925299,11830,5915,2.752314923
WOMENS,TOPS_T_SHIRTS,1844512,10.46995862,76166,38083,2.064665342
WOMENS,TROUSERS,317747,15.37898284,19136,9568,3.011200735
NULL,NULL,35999,34.06739465,2532,1266,3.516764355
